kernel,gx,gy,gz,bx,by,bz,funcId,smefficiency 
0,1,320,5,64,1,1,28,70.9
1,1,320,5,64,1,1,28,92.25 
0,1,400,4,64,1,1,28,71.01
1,1,400,4,64,1,1,28,92.64 
0,1,800,2,64,1,1,28,71.14
1,1,800,2,64,1,1,28,93.54 
0,1,1600,1,64,1,1,20,70.71
1,1,1600,1,64,1,1,20,92.9 
0,2,1,800,64,1,1,44,67.19
1,2,1,800,64,1,1,44,93.11 
0,2,2,400,64,1,1,60,71.31
1,2,2,400,64,1,1,60,91.16 
0,2,4,200,64,1,1,60,71.27
1,2,4,200,64,1,1,60,92.09 
0,2,5,160,64,1,1,60,70.73
1,2,5,160,64,1,1,60,91.42 
0,2,8,100,64,1,1,60,71.65
1,2,8,100,64,1,1,60,93.84 
0,2,10,80,64,1,1,60,71.09
1,2,10,80,64,1,1,60,93.73 
0,2,16,50,64,1,1,60,71.12
1,2,16,50,64,1,1,60,93.63 
0,2,20,40,64,1,1,60,71.68
1,2,20,40,64,1,1,60,91.21 
0,2,25,32,64,1,1,60,70.82
1,2,25,32,64,1,1,60,92.74 
0,2,32,25,64,1,1,60,70.2
1,2,32,25,64,1,1,60,91.2 
0,2,40,20,64,1,1,60,71.16
1,2,40,20,64,1,1,60,91.78 
0,2,50,16,64,1,1,60,71.01
1,2,50,16,64,1,1,60,92.54 
0,2,80,10,64,1,1,60,70.8
1,2,80,10,64,1,1,60,94.38 
0,2,100,8,64,1,1,60,71.88
1,2,100,8,64,1,1,60,92.9 
0,2,160,5,64,1,1,60,69.65
1,2,160,5,64,1,1,60,91.42 
0,2,200,4,64,1,1,60,70.85
1,2,200,4,64,1,1,60,91.99 
0,2,400,2,64,1,1,60,71.42
1,2,400,2,64,1,1,60,92.49 
0,2,800,1,64,1,1,52,66.67
1,2,800,1,64,1,1,52,94.77 
0,4,1,400,64,1,1,44,71.82
1,4,1,400,64,1,1,44,92.98 
0,4,2,200,64,1,1,60,71.32
1,4,2,200,64,1,1,60,92.09 
0,4,4,100,64,1,1,60,69.96
1,4,4,100,64,1,1,60,93.9 
0,4,5,80,64,1,1,60,70.85
