gx,gy,gz,bx,by,bz,funcId,smefficiency 
16,256,2,16,2,1,62,58.1 
16,512,1,16,2,1,54,58.27 
32,1,256,16,2,1,46,58.11 
32,2,128,16,2,1,62,58.4 
32,4,64,16,2,1,62,57.75 
32,8,32,16,2,1,62,58.21 
32,16,16,16,2,1,62,58.17 
32,32,8,16,2,1,62,58.24 
32,64,4,16,2,1,62,57.73 
32,128,2,16,2,1,62,58.08 
32,256,1,16,2,1,54,57.98 
64,1,128,16,2,1,46,57.75 
64,2,64,16,2,1,62,58.12 
64,4,32,16,2,1,62,57.99 
64,8,16,16,2,1,62,57.98 
64,16,8,16,2,1,62,57.99 
64,32,4,16,2,1,62,58.13 
64,64,2,16,2,1,62,58.28 
64,128,1,16,2,1,54,58.11 
128,1,64,16,2,1,46,57.75 
128,2,32,16,2,1,62,58.09 
128,4,16,16,2,1,62,58.3 
128,8,8,16,2,1,62,58.12 
128,16,4,16,2,1,62,57.94 
128,32,2,16,2,1,62,57.86 
128,64,1,16,2,1,54,58.1 
256,1,32,16,2,1,46,57.66 
256,2,16,16,2,1,62,58.02 
256,4,8,16,2,1,62,57.88 
256,8,4,16,2,1,62,58.05 
256,16,2,16,2,1,62,57.97 
256,32,1,16,2,1,54,57.78 
512,1,16,16,2,1,46,58.1 
512,2,8,16,2,1,62,58.21 
512,4,4,16,2,1,62,58.0 
512,8,2,16,2,1,62,58.23 
512,16,1,16,2,1,54,58.15 
1024,1,8,16,2,1,46,58.15 
1024,2,4,16,2,1,62,57.81 
1024,4,2,16,2,1,62,58.28 
1024,8,1,16,2,1,54,57.98 
2048,1,4,16,2,1,46,57.8 
2048,2,2,16,2,1,62,58.15 
2048,4,1,16,2,1,54,58.26 
4096,1,2,16,2,1,46,58.11 
4096,2,1,16,2,1,54,57.93 
8192,1,1,16,2,1,38,58.18 
1,1,4096,32,2,1,14,32.53 
1,2,2048,32,2,1,30,32.62 
1,4,1024,32,2,1,30,32.57 
1,8,512,32,2,1,30,32.48 
1,16,256,32,2,1,30,32.68 
1,32,128,32,2,1,30,32.37 
1,64,64,32,2,1,30,32.75 
1,128,32,32,2,1,30,32.47 
1,256,16,32,2,1,30,32.58 
1,512,8,32,2,1,30,32.52 
1,1024,4,32,2,1,30,32.55 
1,2048,2,32,2,1,30,32.61 
1,4096,1,32,2,1,22,32.49 
2,1,2048,32,2,1,46,32.39 
2,2,1024,32,2,1,62,32.52 
2,4,512,32,2,1,62,32.41 
2,8,256,32,2,1,62,32.59 
2,16,128,32,2,1,62,32.58 
2,32,64,32,2,1,62,32.56 
2,64,32,32,2,1,62,32.64 
2,128,16,32,2,1,62,32.68 
2,256,8,32,2,1,62,32.49 
2,512,4,32,2,1,62,32.34 
2,1024,2,32,2,1,62,32.59 
2,2048,1,32,2,1,54,32.48 
4,1,1024,32,2,1,46,32.6 
4,2,512,32,2,1,62,32.4 
4,4,256,32,2,1,62,32.64 
4,8,128,32,2,1,62,32.5 
4,16,64,32,2,1,62,32.55 
4,32,32,32,2,1,62,32.52 
4,64,16,32,2,1,62,32.69 
4,128,8,32,2,1,62,32.61 
4,256,4,32,2,1,62,32.6 
4,512,2,32,2,1,62,32.4 
4,1024,1,32,2,1,54,32.63 
8,1,512,32,2,1,46,32.45 
8,2,256,32,2,1,62,32.6 
8,4,128,32,2,1,62,32.48 
8,8,64,32,2,1,62,32.45 
8,16,32,32,2,1,62,32.7 
8,32,16,32,2,1,62,32.59 
8,64,8,32,2,1,62,32.67 
8,128,4,32,2,1,62,32.52 
8,256,2,32,2,1,62,32.55 
8,512,1,32,2,1,54,32.39 
16,1,256,32,2,1,46,32.64 
16,2,128,32,2,1,62,32.67 
16,4,64,32,2,1,62,32.57 
16,8,32,32,2,1,62,32.63 
16,16,16,32,2,1,62,32.59 
16,32,8,32,2,1,62,32.45 
16,64,4,32,2,1,62,32.45 
16,128,2,32,2,1,62,32.46 
16,256,1,32,2,1,54,32.3 
32,1,128,32,2,1,46,32.5 
32,2,64,32,2,1,62,32.47 
32,4,32,32,2,1,62,32.48 
32,8,16,32,2,1,62,32.55 
32,16,8,32,2,1,62,32.7 
32,32,4,32,2,1,62,32.57 
32,64,2,32,2,1,62,32.6 
32,128,1,32,2,1,54,32.46 
64,1,64,32,2,1,46,32.53 
64,2,32,32,2,1,62,32.58 
64,4,16,32,2,1,62,32.52 
64,8,8,32,2,1,62,32.51 
64,16,4,32,2,1,62,32.73 
64,32,2,32,2,1,62,32.33 
64,64,1,32,2,1,54,32.6 
128,1,32,32,2,1,46,32.5 
128,2,16,32,2,1,62,32.61 
128,4,8,32,2,1,62,32.69 
128,8,4,32,2,1,62,32.21 
128,16,2,32,2,1,62,32.3 
128,32,1,32,2,1,54,32.46 
256,1,16,32,2,1,46,32.68 
256,2,8,32,2,1,62,32.57 
256,4,4,32,2,1,62,32.32 
256,8,2,32,2,1,62,32.53 
256,16,1,32,2,1,54,32.57 
512,1,8,32,2,1,46,32.36 
512,2,4,32,2,1,62,32.67 
512,4,2,32,2,1,62,32.66 
512,8,1,32,2,1,54,32.57 
1024,1,4,32,2,1,46,32.59 
1024,2,2,32,2,1,62,32.51 
1024,4,1,32,2,1,54,32.57 
2048,1,2,32,2,1,46,32.53 
2048,2,1,32,2,1,54,32.71 
4096,1,1,32,2,1,38,32.74 
1,1,2048,64,2,1,14,19.4 
1,2,1024,64,2,1,30,19.37 
1,4,512,64,2,1,30,19.48 
1,8,256,64,2,1,30,19.47 
1,16,128,64,2,1,30,19.4 
1,32,64,64,2,1,30,19.43 
1,64,32,64,2,1,30,19.38 
1,128,16,64,2,1,30,19.45 
1,256,8,64,2,1,30,19.45 
1,512,4,64,2,1,30,19.4 
1,1024,2,64,2,1,30,19.4 
1,2048,1,64,2,1,22,19.38 
