gx,gy,gz,bx,by,bz,gpuId,smefficiency 
2,4,4,16,8,1,0,9.68 
2,8,2,16,8,1,0,9.97 
2,16,1,16,8,1,0,9.77 
4,1,8,16,8,1,0,9.51 
4,2,4,16,8,1,0,10.48 
4,4,2,16,8,1,0,9.71 
4,8,1,16,8,1,0,9.26 
8,1,4,16,8,1,0,9.53 
8,2,2,16,8,1,0,9.36 
8,4,1,16,8,1,0,9.51 
16,1,2,16,8,1,0,9.52 
16,2,1,16,8,1,0,9.54 
32,1,1,16,8,1,0,9.47 
1,1,16,32,8,1,0,7.27 
1,2,8,32,8,1,0,6.56 
1,4,4,32,8,1,0,6.73 
1,8,2,32,8,1,0,7.37 
1,16,1,32,8,1,0,7.4 
2,1,8,32,8,1,0,6.78 
2,2,4,32,8,1,0,7.24 
2,4,2,32,8,1,0,6.68 
2,8,1,32,8,1,0,7.3 
4,1,4,32,8,1,0,6.78 
4,2,2,32,8,1,0,6.86 
4,4,1,32,8,1,0,6.81 
8,1,2,32,8,1,0,7.14 
8,2,1,32,8,1,0,6.81 
16,1,1,32,8,1,0,6.74 
1,1,8,64,8,1,0,4.89 
1,2,4,64,8,1,0,4.86 
1,4,2,64,8,1,0,4.86 
1,8,1,64,8,1,0,4.88 
2,1,4,64,8,1,0,4.88 
2,2,2,64,8,1,0,5.09 
2,4,1,64,8,1,0,4.79 
4,1,2,64,8,1,0,4.78 
4,2,1,64,8,1,0,4.79 
8,1,1,64,8,1,0,4.74 
1,1,4,128,8,1,0,3.81 
1,2,2,128,8,1,0,3.9 
1,4,1,128,8,1,0,3.92 
2,1,2,128,8,1,0,3.93 
2,2,1,128,8,1,0,3.95 
4,1,1,128,8,1,0,3.89 
1,1,128,2,16,1,0,13.07 
1,2,64,2,16,1,0,13.46 
1,4,32,2,16,1,0,13.03 
1,8,16,2,16,1,0,13.01 
1,16,8,2,16,1,0,13.45 
1,32,4,2,16,1,0,13.41 
1,64,2,2,16,1,0,13.46 
1,128,1,2,16,1,0,13.36 
2,1,64,2,16,1,0,13.11 
2,2,32,2,16,1,0,13.24 
2,4,16,2,16,1,0,13.67 
2,8,8,2,16,1,0,13.75 
2,16,4,2,16,1,0,13.69 
2,32,2,2,16,1,0,13.69 
2,64,1,2,16,1,0,13.62 
4,1,32,2,16,1,0,13.48 
4,2,16,2,16,1,0,13.73 
4,4,8,2,16,1,0,13.68 
4,8,4,2,16,1,0,13.64 
4,16,2,2,16,1,0,13.6 
4,32,1,2,16,1,0,13.55 
8,1,16,2,16,1,0,13.48 
8,2,8,2,16,1,0,13.7 
8,4,4,2,16,1,0,14.13 
8,8,2,2,16,1,0,13.72 
8,16,1,2,16,1,0,13.55 
16,1,8,2,16,1,0,13.48 
16,2,4,2,16,1,0,13.7 
16,4,2,2,16,1,0,13.69 
16,8,1,2,16,1,0,13.08 
32,1,4,2,16,1,0,13.03 
32,2,2,2,16,1,0,14.93 
32,4,1,2,16,1,0,13.54 
64,1,2,2,16,1,0,13.42 
64,2,1,2,16,1,0,13.57 
128,1,1,2,16,1,0,13.44 
1,1,64,4,16,1,0,9.5 
1,2,32,4,16,1,0,9.19 
1,4,16,4,16,1,0,10.01 
1,8,8,4,16,1,0,10.36 
1,16,4,4,16,1,0,9.33 
1,32,2,4,16,1,0,9.65 
1,64,1,4,16,1,0,9.57 
2,1,32,4,16,1,0,9.72 
2,2,16,4,16,1,0,9.79 
2,4,8,4,16,1,0,9.69 
2,8,4,4,16,1,0,9.77 
2,16,2,4,16,1,0,9.72 
2,32,1,4,16,1,0,9.72 
4,1,16,4,16,1,0,9.67 
4,2,8,4,16,1,0,9.72 
4,4,4,4,16,1,0,9.76 
4,8,2,4,16,1,0,9.73 
4,16,1,4,16,1,0,10.93 
8,1,8,4,16,1,0,9.67 
8,2,4,4,16,1,0,9.75 
8,4,2,4,16,1,0,9.8 
8,8,1,4,16,1,0,9.68 
16,1,4,4,16,1,0,9.69 
16,2,2,4,16,1,0,9.78 
16,4,1,4,16,1,0,9.7 
32,1,2,4,16,1,0,9.69 
32,2,1,4,16,1,0,9.74 
64,1,1,4,16,1,0,9.56 
1,1,32,8,16,1,0,9.69 
1,2,16,8,16,1,0,9.62 
1,4,8,8,16,1,0,9.66 
1,8,4,8,16,1,0,9.63 
1,16,2,8,16,1,0,10.44 
1,32,1,8,16,1,0,9.61 
2,1,16,8,16,1,0,9.66 
2,2,8,8,16,1,0,9.75 
2,4,4,8,16,1,0,9.79 
2,8,2,8,16,1,0,9.8 
2,16,1,8,16,1,0,10.93 
4,1,8,8,16,1,0,9.69 
4,2,4,8,16,1,0,9.73 
4,4,2,8,16,1,0,10.9 
4,8,1,8,16,1,0,9.6 
8,1,4,8,16,1,0,9.67 
8,2,2,8,16,1,0,9.71 
8,4,1,8,16,1,0,9.66 
16,1,2,8,16,1,0,9.66 
16,2,1,8,16,1,0,9.69 
32,1,1,8,16,1,0,9.63 
1,1,16,16,16,1,0,6.81 
1,2,8,16,16,1,0,6.84 
1,4,4,16,16,1,0,6.85 
1,8,2,16,16,1,0,6.82 
1,16,1,16,16,1,0,6.89 
2,1,8,16,16,1,0,7.49 
