Kernel,gx,gy,gz,bx,by,bz,gpuId,efficiency-warp-execution 
 0, 1,  12,  3,  8,  16,  2, 0,100.0 
 0, 16,  2,  1,  48,  6,  1, 0,100.0 
 0, 4,  4,  6,  6,  4,  4, 0,100.0 
 1, 2,  9,  8,  16,  4,  1, 1,100.0 
 0, 96,  1,  1,  96,  1,  1, 0,100.0 
 0, 8,  6,  1,  16,  4,  3, 0,100.0 
 1, 2,  1,  24,  2,  4,  24, 1,100.0 
 0, 4,  2,  4,  9,  2,  16, 0,100.0 
 0, 3,  3,  16,  8,  4,  2, 0,100.0 
 1, 1,  9,  4,  4,  64,  1, 0,100.0 
 1, 4,  4,  18,  1,  4,  8, 1,100.0 
 0, 2,  6,  2,  4,  96,  1, 0,100.0 
 0, 48,  2,  1,  48,  2,  1, 0,100.0 
 0, 2,  3,  12,  4,  4,  8, 0,100.0 
 1, 24,  2,  1,  3,  32,  2, 1,100.0 
 0, 3,  32,  1,  6,  4,  4, 0,100.0 
 1, 1,  8,  6,  2,  3,  32, 1,100.0 
 0, 24,  2,  2,  2,  24,  2, 0,100.0 
 1, 3,  1,  16,  4,  2,  24, 1,100.0 
 0, 1,  4,  4,  3,  48,  4, 0,100.0 
 0, 1,  1,  32,  9,  4,  8, 0,100.0 
 0, 3,  6,  1,  8,  64,  1, 0,100.0 
 1, 1,  8,  4,  6,  4,  12, 1,100.0 
 0, 8,  2,  1,  3,  3,  64, 0,100.0 
 1, 6,  2,  8,  2,  12,  4, 1,100.0 
 0, 6,  1,  3,  128,  2,  2, 1,100.0 
 0, 2,  1,  48,  8,  2,  6, 0,100.0 
 1, 3,  4,  2,  48,  1,  8, 1,100.0 
 0, 2,  2,  6,  2,  64,  3, 0,100.0 
 0, 2,  2,  9,  2,  4,  32, 0,100.0 
 0, 1,  1,  36,  16,  16,  1, 0,100.0 
 1, 1,  12,  2,  16,  8,  3, 1,100.0 
 0, 2,  1,  12,  3,  64,  2, 0,100.0 
 0, 4,  1,  4,  32,  18,  1, 0,100.0 
 1, 1,  9,  32,  2,  4,  4, 1,100.0 
 0, 6,  2,  2,  4,  8,  12, 1,100.0 
 0, 8,  2,  2,  1,  48,  6, 0,100.0 
 1, 48,  1,  1,  96,  2,  1, 1,100.0 
 0, 2,  2,  3,  1,  384,  2, 0,100.0 
 0, 2,  12,  3,  128,  1,  1, 0,100.0 
 0, 8,  6,  2,  2,  8,  6, 0,100.0 
 0, 1,  1,  48,  2,  3,  32, 0,100.0 
 1, 2,  8,  6,  4,  1,  24, 1,100.0 
 0, 2,  3,  2,  24,  16,  2, 0,100.0 
 0, 2,  8,  3,  8,  24,  1, 0,100.0 
 0, 6,  1,  2,  24,  1,  32, 0,100.0 
 0, 1,  9,  16,  4,  8,  2, 0,100.0 
 0, 1,  4,  4,  16,  3,  12, 0,100.0 
 1, 6,  4,  2,  96,  1,  2, 1,100.0 
 1, 4,  6,  2,  64,  1,  3, 0,100.0 
 1, 4,  1,  6,  4,  96,  1, 0,100.0 
 1, 8,  18,  1,  16,  1,  4, 1,100.0 
 1, 3,  6,  4,  32,  1,  4, 1,100.0 
 0, 36,  4,  2,  32,  1,  1, 0,100.0 
 1, 6,  2,  3,  4,  1,  64, 0,100.0 
 1, 24,  6,  1,  4,  1,  16, 0,100.0 
 0, 1,  4,  4,  24,  8,  3, 0,100.0 
 1, 2,  8,  1,  2,  24,  12, 1,100.0 
 0, 4,  1,  8,  3,  12,  8, 0,100.0 
 0, 48,  1,  1,  6,  1,  32, 0,100.0 
 1, 48,  6,  1,  4,  8,  1, 1,100.0 
 0, 2,  4,  6,  1,  24,  8, 0,100.0 
 0, 1,  6,  2,  6,  32,  4, 0,100.0 
 0, 8,  1,  9,  2,  16,  4, 0,100.0 
