Kernel,gx,gy,gz,bx,by,bz,gpuId,gld_efficiency
1,1,4,968,2,4,4,0,12.5
1,2,22,4,22,4,8,0,12.5
1,11,4,4,8,11,8,0,12.5
1,88,1,4,4,44,2,0,12.5
0,16,22,1,44,1,8,0,90.28
1,88,22,2,16,2,1,0,12.5
1,1,22,11,2,16,16,0,12.5
1,2,1,88,64,11,1,0,12.5
1,121,8,1,4,2,16,0,12.5
1,1,352,1,16,1,22,0,12.5
1,44,88,1,1,32,1,0,12.5
1,121,1,8,1,16,8,0,12.5
0,8,2,242,1,4,8,0,90.28
1,22,1,16,4,44,2,0,12.5
1,1,4,88,352,1,1,0,12.5
1,1,16,242,4,4,2,0,12.5
1,16,2,11,22,1,16,0,12.5
1,22,1,8,704,1,1,0,12.5
1,4,121,2,32,1,4,0,12.5
1,121,4,8,32,1,1,0,12.5
1,1,1936,2,8,1,4,0,12.5
1,2,1,968,1,4,16,0,12.5
1,1,22,22,64,4,1,0,12.5
1,1,44,11,8,32,1,0,12.5
1,2,11,44,2,8,8,0,12.5
1,1,176,2,176,2,1,0,12.5
1,44,2,2,88,4,2,0,12.5
1,2,1,88,352,2,1,0,12.5
1,44,2,11,8,4,4,0,12.5
1,1,44,88,1,4,8,0,12.5
1,44,1,8,1,32,11,0,12.5
1,121,2,16,2,2,8,0,12.5
1,2,44,44,2,2,8,0,12.5
1,121,2,4,1,128,1,0,12.5
1,2,242,1,1,8,32,0,12.5
1,176,1,2,16,11,2,0,12.5
1,2,22,11,64,4,1,0,12.5
1,484,1,2,32,1,4,0,12.5
1,11,4,4,44,4,4,0,12.5
0,88,1,11,16,1,8,0,90.28
1,1,121,8,16,8,1,0,12.5
1,2,11,22,32,8,1,0,12.5
1,44,44,1,4,1,16,0,12.5
1,2,11,8,4,88,2,0,12.5
1,4,11,4,1,16,44,0,12.5
1,4,121,1,8,4,8,0,12.5
1,1,176,11,16,1,4,0,12.5
1,121,1,2,4,32,4,0,12.5
1,4,4,121,4,8,2,0,12.5
0,2,2,44,11,16,4,0,90.28
0,1,4,121,4,8,8,0,90.28
0,2,121,1,4,2,64,0,90.28
1,1,22,8,1,11,64,0,12.5
1,3872,1,1,2,8,2,0,12.5
1,1,1,121,64,4,4,0,12.5
1,242,1,2,2,8,16,0,12.5
1,484,1,4,8,1,8,0,12.5
1,2,11,22,64,1,4,0,12.5
0,4,44,22,32,1,1,0,90.28
0,2,1,88,88,1,8,0,90.28
1,121,8,4,8,1,4,0,12.5
1,2,88,22,8,2,2,0,12.5
1,4,8,11,88,1,4,0,12.5
1,1,2,176,2,88,2,0,12.5
1,22,4,2,8,8,11,0,12.5
1,4,44,1,704,1,1,0,12.5
1,1,242,16,1,16,2,0,12.5
1,44,2,44,32,1,1,0,12.5
1,4,44,11,1,16,4,0,12.5
1,1,44,44,4,16,1,0,12.5
1,2,121,1,16,4,8,0,12.5
0,22,44,4,1,32,1,0,90.28
1,2,8,121,2,16,2,0,12.5
1,242,2,8,8,2,2,0,12.5
1,11,4,4,88,2,4,0,12.5
1,44,4,1,2,8,44,0,12.5
1,176,1,2,11,8,4,0,12.5
