Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
1,4,64,1,64,1,4,0,0.046517
1,32,2,2,8,64,1,0,0.04706
1,4,64,8,1,4,8,0,0.047478
1,4,32,8,1,32,2,0,0.046568
1,32,1,2,16,2,32,0,0.046692
1,2,8,64,2,2,16,0,0.046183
1,8,64,2,2,4,8,0,0.046274
1,32,8,4,1,32,2,0,0.047037
1,16,1,8,8,32,2,0,0.047776
1,4,32,8,2,1,32,0,0.046292
1,128,2,2,1,4,32,0,0.046483
1,2,16,2,256,2,2,0,0.047575
1,2,2,256,1,64,1,0,0.045953
0,4,1,256,32,1,2,0,0.7878
0,2,8,8,256,1,2,0,0.922003
1,1,256,8,32,1,1,0,0.047977
1,16,4,4,16,4,4,0,0.047502
1,8,8,1,4,64,4,0,0.047186
1,16,8,2,16,2,8,0,0.046277
1,1,1,256,8,32,1,0,0.047466
1,1,1,64,64,4,4,0,0.04731
1,64,1,1,32,1,32,0,0.047031
1,1,64,4,32,8,1,0,0.046262
1,32,4,2,16,4,4,0,0.046703
0,2,16,4,2,32,8,0,1.015471
1,64,4,8,4,8,1,0,0.047851
1,4,4,128,2,4,4,0,0.047979
1,1,128,8,4,16,1,0,0.046641
1,1,4,256,8,8,1,0,0.047212
1,2,16,8,32,2,4,0,0.047056
0,2,256,2,8,1,8,0,0.81254
1,1,1,128,8,16,4,0,0.04848
0,1,32,16,32,2,2,0,0.878039
1,64,1,4,8,8,4,0,0.046935
0,2,512,2,1,4,8,0,0.726726
0,32,8,2,4,8,4,0,0.89628
1,256,2,4,2,2,8,0,0.048332
1,2,2,16,128,8,1,0,0.047376
1,8,1,128,2,32,1,0,0.04667
1,256,8,1,1,2,16,0,0.082325
1,16,4,2,1,8,64,0,0.047086
1,2,2,128,4,1,32,0,0.046532
1,64,1,1,64,4,4,0,0.046731
1,32,1,2,64,1,16,0,0.047426
1,64,2,16,16,2,1,0,0.048113
1,4,32,4,4,16,2,0,0.045987
1,8,8,2,4,128,1,0,0.046641
1,8,1,8,128,8,1,0,0.046505
1,2,32,8,2,32,2,0,0.046419
0,4,16,2,64,2,4,0,0.981525
1,8,4,4,4,128,1,0,0.047127
1,16,4,2,16,16,2,0,0.047182
1,32,16,4,4,1,8,0,0.047871
1,256,1,2,16,2,4,0,0.046369
1,1,2,1024,16,2,1,0,0.047295
1,1,8,128,16,2,2,0,0.046444
0,2,64,1,512,1,1,0,0.878003
1,1,1,128,2,256,1,0,0.046602
1,1,2,128,4,64,1,0,0.046939
1,4,16,8,2,2,32,0,0.047033
1,1,4,256,4,4,4,0,0.047286
1,4,32,4,32,1,4,0,0.046125
0,1,4,16,32,32,1,0,0.948651
0,32,2,1,8,16,8,0,1.021446
1,64,2,1,128,2,2,0,0.046933
1,128,2,4,64,1,1,0,0.046239
1,1,64,4,8,1,32,0,0.046812
1,2,32,8,4,16,2,0,0.045976
1,4,2,16,8,8,8,0,0.047697
1,8,8,4,16,1,16,0,0.046053
1,1,4,64,32,4,2,0,0.046982
1,16,32,4,8,2,2,0,0.048137
0,1,16,128,8,1,4,0,0.682598
1,2,1,64,2,256,1,0,0.047105
1,8,1,128,8,2,4,0,0.046515
1,64,4,1,2,16,8,0,0.047438
1,32,1,16,4,4,8,0,0.046093
1,2,4,16,2,64,4,0,0.04751
1,2,32,2,128,1,4,0,0.047249
1,4,1,32,1,128,4,0,0.047371
1,2,512,1,4,8,2,0,0.046147
1,1,128,1,4,2,64,0,0.047522
1,8,1,256,1,16,2,0,0.048044
1,16,64,2,8,2,2,0,0.047034
1,1024,1,1,16,2,2,0,0.046491
1,2,16,16,4,1,32,0,0.045801
1,16,2,2,16,32,2,0,0.047444
1,32,8,1,2,32,4,0,0.047091
0,4,1,128,32,2,2,0,0.916564
0,2,2,256,16,4,1,0,0.813777
1,4,32,2,32,2,4,0,0.046645
1,4,2,32,4,8,8,0,0.047351
1,1,16,16,32,4,2,0,0.047425
1,64,4,8,1,32,1,0,0.048045
1,4,2,16,16,4,8,0,0.04771
1,1,2,64,8,16,4,0,0.046478
1,128,1,2,1,4,64,0,0.047677
1,4,32,2,128,2,1,0,0.04701
1,8,4,2,32,4,8,0,0.048058
1,16,1,4,64,8,2,0,0.047755
1,8,16,4,1,8,16,0,0.046142
1,4,128,1,2,4,16,0,0.04663
1,1,128,16,2,1,16,0,0.047592
1,1,32,4,16,4,8,0,0.047125
1,2,2,32,1,16,32,0,0.047206
1,2,16,4,2,32,8,0,0.046849
1,2,4,32,4,16,4,0,0.046784
1,16,2,64,2,1,16,0,0.047648
1,64,1,1,32,16,2,0,0.046517
