Kernel,gx,gy,gz,bx,by,bz,gpuId,smefficiency
1,32,1,4,8,10,10,0,6.25
1,16,1,25,2,16,8,0,8.76
1,80,2,2,4,80,1,0,5.02
1,25,1,4,8,2,64,0,10.85
1,8,40,1,8,2,20,0,4.87
1,25,2,2,256,2,2,0,11.71
1,4,4,20,2,80,2,0,4.22
1,2,5,16,160,4,1,0,4.89
1,1,2,100,64,4,2,0,12.48
1,2,400,2,1,8,8,0,6.49
1,8,4,25,2,2,32,0,6.89
1,5,2,80,16,4,2,0,6.21
1,10,8,4,20,8,2,0,5.67
1,2,2,800,1,8,4,0,3.59
0,8,10,2,16,1,40,0,31.96
0,80,2,10,1,2,32,0,31.98
1,64,1,2,100,1,8,0,5.8
1,16,8,1,8,2,50,0,6.25
1,10,1,16,5,64,2,0,6.81
1,2,25,16,4,8,4,0,6.93
1,2,64,1,5,8,20,0,6.27
1,4,100,8,1,16,2,0,3.73
1,2,8,10,640,1,1,0,7.23
1,10,40,2,2,64,1,0,6.3
1,80,1,8,32,5,1,0,4.74
1,50,16,1,128,1,1,0,5.83
1,160,1,4,10,1,16,0,4.48
1,4,2,40,64,1,5,0,5.57
1,1,8,40,16,10,2,0,4.86
1,5,1,40,1,256,2,0,11.02
0,100,1,32,4,1,8,0,29.84
0,1,4,50,4,2,64,0,31.36
1,2,32,5,2,16,10,0,5.03
1,2,10,40,8,8,2,0,5.99
1,1,1,160,16,10,4,0,6.49
1,10,40,8,1,32,1,0,4.01
0,10,4,5,8,4,16,0,31.26
1,1,64,5,8,4,10,0,4.62
1,1,25,4,8,64,2,0,12.29
1,20,4,4,8,20,2,0,4.85
1,8,2,25,256,1,1,0,8.88
1,80,1,10,1,4,32,0,8.33
1,1,64,25,32,1,2,0,5.36
1,40,1,40,1,4,16,0,5.89
1,80,1,8,1,160,1,0,4.47
1,2,32,2,40,5,4,0,6.0
1,2,1,320,5,4,8,0,4.32
0,4,50,2,2,16,8,0,30.93
1,5,40,4,4,8,4,0,5.34
1,2,320,5,32,1,1,0,3.57
1,1,5,32,16,5,8,0,7.81
1,320,5,1,1,64,1,0,5.62
1,80,2,2,2,16,10,0,5.13
1,20,16,2,8,10,2,0,3.76
1,16,10,4,16,10,1,0,3.53
1,4,8,20,10,4,4,0,4.66
1,4,1,32,16,25,2,0,6.2
0,8,4,10,8,1,40,0,30.47
1,1,8,16,16,25,2,0,6.32
1,5,64,2,20,4,2,0,4.69
1,2,5,32,4,80,1,0,6.02
1,20,20,4,1,2,32,0,5.43
1,4,10,20,2,64,1,0,9.17
0,40,2,8,1,16,10,0,29.84
1,8,4,50,4,8,2,0,6.18
1,2,20,8,20,4,4,0,5.07
0,32,1,20,1,20,8,0,30.74
1,2,25,32,2,2,16,0,6.06
1,1,800,4,4,8,1,0,4.44
1,160,4,1,80,2,1,0,3.9
1,8,5,16,8,10,2,0,3.56
1,16,4,5,40,1,8,0,5.24
1,16,5,4,40,2,4,0,5.49
1,320,1,2,1,4,40,0,4.54
1,8,8,10,2,16,5,0,3.29
1,32,5,1,5,2,64,0,6.25
1,4,1,32,5,32,5,0,6.24
0,2,160,2,5,32,1,0,30.32
1,10,32,10,8,4,1,0,3.91
1,16,2,50,4,16,1,0,5.61
1,100,1,2,16,2,16,0,11.6
1,2,32,5,8,1,40,0,6.62
1,10,320,1,1,32,1,0,3.79
1,40,1,4,2,16,20,0,6.6
0,5,32,1,1,640,1,0,32.23
1,20,8,1,4,160,1,0,6.61
1,640,1,1,4,20,2,0,4.71
1,40,20,1,1,2,64,0,8.25
1,10,4,40,2,1,32,0,6.76
1,100,4,2,1,4,32,0,8.09
1,4,2,400,8,4,1,0,3.15
0,1,80,2,4,10,16,0,32.45
1,4,5,5,256,1,4,0,8.44
1,8,25,1,16,2,16,0,10.86
1,8,1,50,16,8,2,0,8.58
1,10,16,1,4,40,4,0,7.22
1,160,2,5,4,4,4,0,5.58
1,10,32,1,8,40,1,0,4.87
1,20,5,8,8,4,4,0,6.73
1,40,8,1,1,20,16,0,10.48
0,1,5,32,8,8,10,0,31.27
1,2,4,80,2,10,8,0,4.54
1,10,1,20,4,16,8,0,11.76
1,100,1,1,8,2,64,0,12.1
1,40,2,5,4,64,1,0,9.37
0,5,10,64,8,1,4,0,31.62
1,25,2,64,2,2,8,0,3.41
0,160,2,2,20,4,2,0,29.83
1,40,8,1,10,2,16,0,5.75
0,2,2,32,4,40,5,0,31.51
0,1,160,1,1,160,4,0,31.27
1,1,20,8,160,4,1,0,6.5
1,8,5,16,1,160,1,0,3.01
1,160,1,4,2,40,2,0,3.86
0,16,10,2,5,64,1,0,30.69
1,5,8,16,2,20,4,0,4.75
0,25,1,32,64,1,2,0,31.06
1,1,3200,1,1,32,1,0,3.38
1,5,8,40,1,64,1,0,7.44
0,1,100,2,32,1,16,0,31.13
1,32,1,4,80,5,2,0,6.24
0,20,2,4,32,5,4,0,32.2
1,20,2,16,5,1,32,0,4.01
0,20,8,2,40,1,8,0,30.78
0,8,8,2,10,10,8,0,32.18
0,20,16,1,2,16,10,0,31.33
0,2,8,40,20,1,8,0,30.45
0,10,160,1,4,8,2,0,33.36
0,80,20,2,4,8,1,0,30.62
0,4,40,4,8,2,10,0,30.32
1,5,1,32,4,16,10,0,7.06
0,64,5,2,10,16,1,0,30.24
1,4,25,16,32,2,1,0,6.2
1,2,20,40,1,1,64,0,6.83
1,5,1,64,16,4,5,0,5.97
0,4,25,2,8,1,64,0,31.94
0,5,40,1,32,4,4,0,32.33
0,2,16,50,1,8,8,0,31.89
1,32,5,1,10,4,16,0,6.58
0,1,1,320,2,10,16,0,31.05
1,8,10,40,1,4,8,0,3.76
0,8,100,2,1,32,2,0,31.03
0,20,1,160,8,1,4,0,30.91
0,50,1,16,16,4,2,0,32.01
1,64,1,2,2,20,20,0,6.33
0,160,4,1,4,40,1,0,31.61
1,1,1,640,1,20,8,0,3.77
1,16,50,4,4,2,4,0,4.37
1,4,100,4,2,8,4,0,6.43
1,1,8,20,2,40,8,0,5.99
1,16,1,20,4,2,40,0,5.23
1,8,4,10,2,32,5,0,3.82
0,100,4,2,2,1,64,0,31.25
1,25,4,32,8,1,4,0,3.39
1,20,4,8,40,2,2,0,3.05
1,1,8,16,1,200,4,0,6.33
0,1,20,160,4,4,2,0,31.29
1,4,2,16,10,2,40,0,6.01
1,2,10,20,2,16,8,0,8.55
1,5,4,8,2,160,2,0,7.34
1,20,1,80,4,2,8,0,7.17
1,4,10,8,5,4,16,0,5.19
1,10,5,4,1,16,32,0,11.42
1,1,200,4,2,64,1,0,6.52
0,10,80,2,4,1,16,0,31.73
1,2,20,20,4,16,2,0,7.99
1,4,20,4,5,32,2,0,4.86
1,5,20,8,2,32,2,0,7.7
0,5,2,80,16,4,2,0,30.17
0,40,10,1,32,8,1,0,31.61
1,128,1,1,10,16,5,0,6.28
1,2,400,1,4,2,16,0,7.99
1,32,1,5,16,20,2,0,5.68
0,2,32,5,64,1,5,0,29.71
1,8,1,50,32,4,2,0,9.29
1,2,16,100,2,8,2,0,3.83
1,1,4,32,16,25,2,0,6.27
1,2,40,8,40,2,2,0,4.33
1,20,8,1,20,4,8,0,4.8
0,8,1,80,32,1,5,0,31.09
1,4,5,40,32,2,2,0,7.87
0,8,1,16,50,8,2,0,33.81
1,40,2,4,64,1,5,0,5.0
1,2,2,40,16,10,4,0,6.87
1,40,1,10,4,32,2,0,8.45
1,16,2,10,1,10,32,0,5.28
0,200,2,8,1,32,1,0,31.77
1,16,10,2,1,10,32,0,3.93
1,5,1,64,160,1,2,0,6.04
1,4,4,20,20,2,8,0,5.46
1,8,5,5,64,8,1,0,12.47
1,16,8,25,2,1,16,0,3.45
1,1,8,16,25,2,16,0,6.11
0,4,2,20,20,8,4,0,31.34
1,5,64,1,5,64,1,0,5.22
0,20,1,32,2,40,2,0,30.53
1,40,2,4,32,10,1,0,5.29
1,50,32,1,4,4,4,0,8.12
1,2,8,8,5,32,5,0,6.28
1,32,4,1,32,1,25,0,6.29
0,4,5,5,4,64,4,0,34.75
1,1,16,100,4,4,4,0,7.23
1,32,2,2,100,1,8,0,6.19
1,4,200,1,1,16,8,0,7.61
1,8,1,25,32,8,2,0,11.48
1,2,2,80,1,40,8,0,6.09
1,50,1,2,16,32,2,0,9.58
1,8,1,25,64,8,1,0,12.55
0,160,1,10,2,2,16,0,31.49
1,1,80,5,1,128,2,0,8.54
1,2,100,2,1,64,4,0,8.88
1,10,4,8,8,4,10,0,5.28
1,40,4,4,1,160,1,0,4.33
0,1,4,160,1,160,1,0,31.31
1,1,320,1,1,320,1,0,6.21
1,16,4,10,1,32,5,0,4.24
1,8,40,1,10,32,1,0,5.01
1,32,5,2,20,16,1,0,4.27
1,1,800,1,2,4,16,0,7.87
0,4,400,2,1,32,1,0,29.87
0,10,10,2,2,32,8,0,31.08
1,1,10,10,1,64,16,0,10.79
1,8,10,2,5,2,64,0,6.56
1,1,2,160,2,160,1,0,4.62
1,80,2,5,32,4,1,0,7.28
0,1,32,5,320,2,1,0,32.05
1,8,100,2,1,16,4,0,5.41
1,4,10,80,1,1,32,0,4.32
1,2,160,1,320,1,1,0,4.9
0,1,40,40,16,4,1,0,32.01
0,40,8,1,2,5,32,0,30.67
1,2,16,10,4,80,1,0,4.94
1,2,800,2,4,2,4,0,3.3
1,4,4,8,16,5,10,0,6.19
1,1,100,1,8,2,64,0,11.76
1,2,4,200,8,8,1,0,6.29
1,8,10,2,20,4,8,0,7.01
1,4,20,2,16,4,10,0,6.26
0,10,20,4,4,16,2,0,29.94
1,4,2,40,4,8,10,0,6.12
1,2,80,1,32,1,20,0,6.49
1,2,200,1,64,1,4,0,8.93
1,5,5,32,1,128,1,0,6.79
1,2,40,5,2,128,1,0,7.22
1,4,100,2,8,16,1,0,6.18
1,1,1,100,1,64,16,0,11.34
1,2,160,2,4,5,8,0,3.45
0,1,16,20,32,5,2,0,31.6
1,2,200,1,32,1,8,0,8.94
1,80,2,1,5,2,64,0,6.64
1,20,10,8,8,4,2,0,6.95
1,64,2,1,2,16,25,0,6.03
1,16,2,25,1,32,4,0,7.16
1,20,1,20,32,4,2,0,7.97
1,8,4,5,20,8,4,0,6.16
1,4,1,160,4,10,4,0,3.89
1,16,1,10,320,2,1,0,6.39
0,1,10,16,8,40,2,0,31.56
1,8,20,10,8,2,4,0,6.54
1,2,4,40,32,10,1,0,5.84
1,4,2,25,16,16,2,0,10.98
1,4,25,32,4,2,4,0,3.6
1,400,4,1,2,4,8,0,5.89
1,2,200,4,16,1,4,0,5.57
0,5,32,4,4,2,20,0,30.88
1,2,25,2,64,2,8,0,11.98
1,80,10,1,4,4,8,0,8.2
1,4,32,1,10,40,2,0,6.3
1,2,4,40,1,40,8,0,5.61
1,20,10,16,4,4,2,0,3.31
0,10,1,20,1,256,2,0,31.19
0,32,1,20,10,1,16,0,31.51
1,4,10,5,1,512,1,0,11.99
1,80,4,2,2,10,8,0,3.44
1,8,2,8,1,40,20,0,6.08
1,5,32,4,80,1,2,0,4.0
0,1,50,2,32,4,8,0,32.54
1,20,8,1,64,2,5,0,5.92
1,2,2,160,10,1,16,0,3.53
0,20,1,8,5,4,32,0,30.69
1,2,40,8,80,1,2,0,3.07
1,16,4,2,100,1,8,0,6.27
1,4,1,160,160,1,1,0,3.86
1,5,10,2,256,2,2,0,11.89
1,2,50,16,64,1,1,0,7.16
1,80,4,10,1,4,8,0,3.05
1,64,1,2,32,5,5,0,6.3
1,1,4,25,64,1,16,0,9.53
1,2,10,80,16,2,2,0,4.49
1,64,10,1,10,2,8,0,4.44
1,8,1,40,8,4,10,0,5.06
1,2,4,400,4,4,2,0,3.41
0,5,4,80,8,4,2,0,31.71
1,4,2,16,160,1,5,0,5.99
1,20,2,4,16,20,2,0,5.86
1,4,160,1,4,20,2,0,4.87
1,5,4,32,20,8,1,0,4.3
1,4,20,8,8,1,20,0,4.77
1,50,2,8,1,64,2,0,6.47
1,40,1,16,4,8,5,0,4.7
1,8,16,1,200,2,2,0,6.29
1,4,4,25,2,128,1,0,6.92
1,4,40,4,1,10,16,0,4.56
0,1,1,640,32,1,5,0,31.0
1,8,2,40,5,32,1,0,5.08
0,4,2,20,10,64,1,0,31.66
0,50,4,16,4,2,4,0,30.94
1,5,32,4,1,160,1,0,3.62
1,4,40,1,16,1,40,0,6.26
1,32,4,1,1,800,1,0,6.32
1,5,10,4,32,1,16,0,9.47
1,2,10,10,8,2,32,0,12.14
1,2,16,20,8,1,20,0,3.18
1,1,50,4,1,512,1,0,11.55
1,200,1,4,32,1,4,0,7.56
1,16,8,1,8,25,4,0,5.79
1,16,5,8,1,4,40,0,3.46
1,2,25,4,4,32,4,0,11.8
1,4,5,8,1,16,40,0,6.9
1,160,2,1,4,10,8,0,3.18
1,10,1,10,4,128,2,0,10.93
1,5,4,16,4,10,8,0,3.68
1,1,40,40,2,2,16,0,5.64
0,25,16,8,2,2,8,0,30.86
1,1,20,8,32,10,2,0,6.48
1,20,20,1,4,16,4,0,7.83
1,4,1,100,2,32,4,0,7.65
1,8,10,8,2,4,20,0,4.51
1,20,4,4,20,16,1,0,5.46
1,160,1,4,2,80,1,0,4.36
1,5,16,5,8,4,8,0,9.17
1,1,20,40,4,4,8,0,6.24
1,1,40,16,8,1,20,0,4.03
1,80,5,8,4,4,2,0,3.78
1,4,4,100,2,1,32,0,6.59
1,8,4,5,8,80,1,0,5.03
1,1,16,100,4,1,16,0,5.54
