gx,gy,gz,bx,by,bz,smefficiency
1,2048,1,32,2,2,35.1
1,1,256,128,2,4,10.21
64,1,64,8,4,2,67.29
128,8,2,8,4,4,35.2
8,64,4,16,1,8,35.13
8,1,512,4,16,1,67.26
128,4,2,128,2,1,19.07
2,1,256,16,16,2,10.22
8,16,4,8,1,64,10.21
4,4,64,8,32,1,19.09
64,4,1,1,16,64,10.15
128,2,1,8,128,1,10.21
2,4,128,64,4,1,19.05
1,512,1,2,128,2,10.19
64,8,1,2,8,32,10.21
4,256,8,1,4,8,98.82
2,2,64,2,256,2,10.23
1024,2,1,32,2,2,35.21
8,16,8,16,1,16,19.12
128,4,16,16,2,1,98.78
32,32,4,2,4,8,67.33
8,4,8,16,1,64,10.24
16,8,16,2,2,32,35.19
8,16,64,2,1,16,98.68
1,2,512,4,8,8,19.11
8,8,16,4,64,1,19.09
4,256,1,2,64,2,19.11
8,1,128,8,1,32,19.11
32,4,32,2,4,8,67.33
16,2,8,32,2,16,10.23
1,32,8,32,2,16,10.24
4,4,512,4,1,8,98.75
2,1,128,256,4,1,10.21
2,256,1,16,1,32,10.19
4,8,128,2,16,2,67.34
16,32,1,16,4,8,10.2
128,8,8,16,2,1,98.76
4,128,2,8,4,8,19.1
256,4,8,16,2,1,98.78
4,1024,1,8,4,2,67.28
1,4,256,16,2,8,19.1
32,2,16,16,4,4,19.13
8,16,16,16,8,1,35.14
16,4,4,4,256,1,10.22
1,32,8,8,2,64,10.25
1,2048,4,8,1,4,98.75
1,128,32,4,16,1,67.23
4,256,1,4,2,32,19.12
1024,1,8,1,32,1,98.57
8,32,16,8,8,1,67.27
2,16,8,4,4,64,10.23
32,2,8,4,2,64,10.21
1,1,2048,2,16,4,35.11
2,512,1,2,128,1,19.07
1,8,128,8,2,16,19.1
16,16,2,64,4,2,10.2
256,8,2,32,2,1,67.27
16,32,4,4,4,8,35.17
16,16,2,2,32,8,10.21
256,8,4,1,8,4,98.71
4,1,256,4,2,32,19.15
8,1,1024,16,2,1,98.79
2,8,512,1,16,2,98.8
1,32,8,4,32,8,10.25
1,32,256,16,2,1,98.77
4,1024,2,2,4,4,98.75
2,32,64,2,2,16,67.28
128,4,1,2,8,32,10.21
16,8,2,2,32,16,10.22
2,4,256,8,16,1,35.16
4,2,128,8,16,2,19.11
4,128,8,16,1,4,67.28
2,64,32,1,32,2,67.24
16,32,1,32,8,2,10.2
2,8,32,4,2,64,10.21
64,4,4,2,32,4,19.11
256,2,16,1,32,1,98.81
1,1024,4,16,1,4,67.18
32,64,1,2,4,16,35.21
4,4,128,2,2,32,35.21
2,512,1,4,32,2,19.12
4,16,16,2,4,32,19.1
2,4,64,2,64,4,10.21
1,32,8,2,128,4,10.25
4,4,16,64,1,16,10.24
4,4,512,2,1,16,98.87
