gx,gy,gz,bx,by,bz,smefficiency
1,16,1,8,1,32,10.64
4,2,2,256,1,1,10.52
4,1,2,1,32,16,9.6
2,1,8,64,2,2,10.6
128,1,1,1,2,16,18.17
2,2,16,2,4,8,10.8
8,4,4,4,4,2,19.01
2,4,1,1,64,8,9.18
32,1,4,16,2,1,18.29
2,64,1,4,4,2,18.19
1,8,2,4,4,16,10.55
1,1,8,16,16,2,9.62
8,4,4,8,1,4,18.34
4,1,1,8,32,4,8.71
2,1,32,4,4,4,10.62
8,2,1,8,16,2,10.52
2,8,8,16,2,1,18.18
1,8,8,4,1,16,10.65
1,2,32,2,16,2,11.36
1,8,1,2,256,1,9.66
16,2,1,4,1,32,10.52
2,1,32,16,1,4,10.7
2,8,2,16,1,8,10.69
4,1,4,1,16,16,10.49
64,1,1,8,2,4,10.71
2,1,32,2,32,1,10.64
1,8,8,16,1,4,11.64
2,1,4,8,32,2,9.67
8,2,2,4,16,2,10.76
2,2,2,16,4,8,9.76
1,4,1,2,32,16,8.67
8,16,1,1,1,32,18.15
8,8,2,1,4,8,18.17
1,1,32,128,1,1,10.51
1,2,4,512,1,1,9.58
8,1,1,32,4,4,9.7
8,4,4,1,4,8,18.92
1,2,32,4,2,8,10.57
4,1,8,64,1,2,10.68
16,1,8,32,1,1,18.24
1,64,2,1,8,4,18.15
4,1,8,1,128,1,11.56
32,1,1,4,1,32,11.26
4,2,8,16,4,1,10.58
2,1,16,16,1,8,10.7
2,4,2,128,1,2,10.7
4,2,1,2,8,32,9.64
2,16,1,8,1,16,10.54
2,4,1,128,2,2,9.64
4,16,1,4,16,1,10.66
2,16,1,32,1,4,10.52
1,4,2,128,2,2,9.65
1,32,1,1,16,8,10.52
1,4,2,64,8,1,9.63
2,1,2,256,2,2,8.96
4,2,1,4,32,4,9.64
1,8,1,256,2,1,9.66
16,1,2,1,16,8,10.53
4,8,1,64,2,1,10.64
16,2,1,4,4,8,10.55
8,8,1,2,1,32,10.54
32,2,2,8,4,1,18.21
2,4,2,128,2,1,11.18
16,8,1,8,1,4,18.19
1,8,1,1,128,4,9.59
1,16,8,2,4,4,18.22
2,1,2,4,16,16,8.7
1,64,2,2,4,4,18.23
2,16,1,1,2,64,11.76
4,1,1,32,8,4,8.66
1,2,2,16,8,8,8.72
2,4,1,4,2,64,9.64
2,32,2,2,2,8,18.42
1,4,4,32,1,8,10.61
1,128,1,16,2,1,18.28
2,4,8,8,2,4,10.85
64,2,1,1,1,32,18.16
16,1,1,2,8,16,10.68
4,4,2,64,2,1,10.56
2,1,2,8,4,32,8.72
2,32,2,32,1,1,18.2
16,8,1,4,8,1,18.3
8,8,1,4,4,4,10.56
1,64,2,32,1,1,18.17
2,4,8,4,8,2,10.79
2,32,1,2,4,8,10.61
1,2,4,4,8,16,9.65
8,2,1,4,4,16,10.53
8,16,1,4,1,8,18.19
