Kernel,gx,gy,gz,bx,by,gpuId,ipc
1,4,1,16,16,16,1,1,0.166984
1,1,4,64,2,2,16,1,0.187275
1,8,4,8,8,1,8,1,0.186905
1,2,1,16,8,8,8,1,0.175392
1,2,16,2,2,8,16,1,0.167083
1,1,4,8,2,32,8,1,0.17522
1,2,1,16,1,512,1,1,0.175375
0,8,2,4,2,2,64,1,0.648395
1,2,4,4,32,8,2,1,0.175484
1,8,1,16,32,4,1,1,0.168939
1,1,8,8,4,32,2,1,0.166721
1,4,8,1,32,4,4,1,0.175956
1,1,2,8,4,4,64,1,0.190631
1,2,128,1,2,8,4,1,0.186921
1,8,2,1,64,2,8,1,0.190843
1,2,1,16,32,2,8,1,0.175712
0,1,16,1,16,32,2,1,0.595874
0,1,8,8,4,32,2,1,0.630166
1,16,8,1,2,2,32,1,0.167912
1,16,16,2,16,1,2,1,0.23972
1,4,2,32,16,1,4,1,0.186275
1,4,8,2,4,2,32,1,0.167185
1,16,32,1,1,16,2,1,0.553658
1,1,32,16,1,32,1,1,0.239052
1,1,512,1,4,4,2,1,0.237273
1,8,4,1,64,8,1,1,0.175677
1,2,4,4,256,2,1,1,0.175427
1,4,2,8,8,8,4,1,0.166873
1,8,1,8,1,8,32,1,0.167
1,32,1,16,1,2,16,1,0.239575
1,2,16,8,4,4,4,1,0.187255
1,16,1,32,8,2,2,1,0.239082
1,16,1,16,32,2,1,1,0.187045
1,2,4,4,16,4,8,1,0.176139
1,64,4,1,8,2,4,1,0.186479
1,2,2,4,4,256,1,1,0.190285
1,8,1,32,16,1,4,1,0.187269
1,2,8,4,32,2,4,1,0.16711
1,4,2,8,32,2,4,1,0.167196
1,2,32,4,32,2,1,1,0.186806
1,1,64,2,1,128,1,1,0.167735
1,4,4,1,16,4,16,1,0.190946
1,8,4,2,16,1,16,1,0.167069
1,2,16,2,32,8,1,1,0.167274
1,512,1,1,4,2,4,1,0.235985
1,2,32,4,2,16,2,1,0.187
1,64,2,4,1,8,4,1,0.239287
1,256,1,2,1,2,16,1,0.242945
1,16,4,1,4,2,32,1,0.166846
1,2,32,1,16,1,16,1,0.167017
1,2,128,2,1,2,16,1,0.239538
1,2,16,8,16,4,1,1,0.186253
1,1,32,1,8,1,64,1,0.175511
1,4,2,16,8,8,2,1,0.167989
1,32,1,2,8,4,8,1,0.167412
1,64,1,4,2,8,4,1,0.187109
1,4,128,1,2,2,8,1,0.23628
1,4,2,8,8,4,8,1,0.167041
1,8,2,8,8,4,4,1,0.168445
1,16,8,2,1,64,1,1,0.186506
1,1,32,1,8,64,1,1,0.175824
1,4,1,16,4,4,16,1,0.166911
1,2,4,4,1,512,1,1,0.175503
1,4,4,2,2,16,16,1,0.175609
1,16,32,1,32,1,1,1,0.236478
1,128,2,1,1,32,2,1,0.30772
1,32,2,1,8,16,2,1,0.167263
1,2,4,4,64,1,8,1,0.175282
1,2,64,4,4,1,8,1,0.239639
1,8,1,16,4,8,4,1,0.168199
1,16,2,8,64,1,1,1,0.186904
1,8,32,2,2,16,1,1,0.238953
0,1,512,1,4,8,1,1,0.410024
1,2,4,4,256,1,2,1,0.175252
1,2,1,8,4,8,32,1,0.190255
1,1,64,8,2,2,8,1,0.23624
1,4,2,2,32,1,32,1,0.190559
1,32,4,2,1,1,64,1,0.186349
1,1,8,16,2,8,8,1,0.168209
1,64,8,1,16,2,1,1,0.23711
1,4,4,16,64,1,1,1,0.187258
1,4,8,2,2,8,16,1,0.16718
1,4,1,4,512,2,1,1,0.19018
1,1,1,32,8,32,2,1,0.175701
1,8,8,2,16,4,2,1,0.168036
1,512,1,1,2,1,16,1,0.239077
1,16,1,8,2,1,64,1,0.167841
1,2,1,8,2,512,1,1,0.190513
1,16,1,2,8,16,4,1,0.175279
1,32,1,1,8,8,8,1,0.175302
1,2,8,8,16,4,2,1,0.168132
1,1,4,16,4,16,4,1,0.167302
1,16,2,16,16,2,1,1,0.239379
1,32,1,2,4,32,2,1,0.16769
1,8,2,32,1,4,8,1,0.239482
1,1,8,2,1,512,2,1,0.19009
1,4,16,2,1,16,8,1,0.167872
1,2,1,16,32,4,4,1,0.175159
1,64,8,1,4,8,1,1,0.239415
1,4,32,2,2,4,8,1,0.186515
0,8,2,4,1,256,1,1,0.625757
0,2,4,4,16,16,2,1,0.650903
1,1,16,4,2,64,2,1,0.16686
1,16,1,2,16,16,2,1,0.175512
1,4,64,2,2,8,2,1,0.239828
1,8,64,1,4,4,2,1,0.233112
1,2,2,4,16,4,16,1,0.190636
1,4,4,8,1,2,64,1,0.167941
