Kernel,gx,gy,gz,bx,by,bz,gpuId,ipc
1,48,1,1,8,12,2,1,0.101545
0,1,1,288,1,2,16,1,0.300054
0,48,1,3,2,1,32,1,0.310084
0,1,72,2,8,4,2,1,0.321605
1,3,2,2,3,128,2,1,0.113586
1,1,16,18,8,1,4,1,0.091785
1,2,2,36,16,4,1,1,0.094746
1,8,2,3,8,12,2,1,0.103586
1,6,1,8,32,3,2,1,0.102668
1,12,8,1,1,8,12,1,1.071647
1,12,12,2,32,1,1,1,0.091522
1,4,18,1,16,4,2,1,0.097255
1,8,1,4,4,36,2,1,0.104023
1,1,16,1,8,3,24,1,0.10782
1,1,16,6,32,3,1,1,0.098858
1,8,3,3,2,4,16,1,0.096329
1,3,16,1,4,4,12,1,0.102652
1,2,2,4,1,192,3,1,0.105989
1,1,6,3,1,16,32,1,0.119343
1,1,4,3,4,6,32,1,0.112796
0,4,6,1,128,1,3,1,0.316013
1,8,6,1,8,6,4,1,0.10399
1,2,3,2,16,3,16,1,0.115851
1,24,1,1,4,4,24,1,0.130913
1,1,288,1,8,4,1,1,0.091594
1,3,4,8,2,16,3,1,0.097738
0,8,4,3,12,1,8,1,0.312833
0,16,9,2,8,2,2,1,0.322241
0,2,36,1,2,16,4,1,0.336309
1,12,2,3,1,8,16,1,0.096249
1,12,6,2,4,1,16,1,0.094812
1,1,12,2,12,2,16,1,0.13176
1,2,6,1,8,24,4,1,0.114185
1,2,2,8,12,6,4,1,0.1047
1,4,4,3,64,3,1,1,0.103232
1,72,4,1,2,8,2,1,0.090577
1,6,12,1,16,2,4,1,0.096428
1,1,16,1,4,18,8,1,0.107093
0,2,2,12,6,8,4,1,0.327452
1,1,16,1,3,96,2,1,0.107107
1,1,3,8,3,16,8,1,0.130281
1,6,3,1,4,2,64,1,0.116829
1,1,1,96,2,6,8,1,0.098227
1,2,1,9,16,1,32,1,0.11455
1,6,1,8,8,4,6,1,0.103072
1,4,1,4,9,8,8,1,0.105544
1,2,1,6,8,8,12,1,0.11347
0,1,4,18,4,2,16,1,0.325668
0,6,2,1,4,24,8,1,0.425836
1,16,2,3,4,1,24,1,0.097941
1,1,24,4,2,48,1,1,0.098027
1,48,3,1,2,1,32,1,0.092965
1,4,4,1,3,3,64,1,0.106489
1,2,1,6,4,6,32,1,0.114937
1,4,12,1,4,48,1,1,0.10287
1,1,2,18,2,32,4,1,0.1091
1,4,6,2,48,4,1,1,0.101937
1,72,2,1,8,8,1,1,0.095182
1,6,8,1,2,12,8,1,0.102461
1,3,2,8,32,3,2,1,0.102162
1,4,1,9,16,8,2,1,0.109185
1,1,2,8,3,48,4,1,0.106439
1,32,1,1,4,72,1,1,0.10347
1,8,1,3,2,32,6,1,0.131444
1,8,1,36,1,4,8,1,0.091154
1,4,4,2,6,2,24,1,0.103936
1,288,1,1,8,1,4,1,0.090804
1,6,16,1,2,6,8,1,0.096779
1,6,4,1,16,8,3,1,0.130273
1,1,12,12,1,32,2,1,0.093901
1,4,3,6,8,4,4,1,0.095988
1,2,3,3,2,8,32,1,0.116381
1,3,8,1,4,12,8,1,0.131699
1,6,3,2,2,128,1,1,0.109604
1,8,2,2,2,72,2,1,0.103533
1,1,9,8,1,2,64,1,0.096285
1,2,8,2,1,6,48,1,0.102612
1,16,6,1,8,3,4,1,0.09821
1,2,3,16,12,1,8,1,0.098647
0,2,9,1,8,4,16,1,0.35103
1,2,4,4,6,3,16,1,0.105694
0,2,4,3,8,12,4,1,0.317335
1,12,4,1,3,4,16,1,0.103103
1,6,4,1,4,2,48,1,0.129616
1,1,8,2,1,192,3,1,0.106578
1,1,16,2,24,4,3,1,0.103615
1,3,2,12,1,64,2,1,0.096711
1,48,1,1,12,16,1,1,0.102357
1,2,9,1,64,2,4,1,0.118358
1,2,6,2,12,32,1,1,0.132411
0,6,8,1,6,1,32,1,0.318907
1,36,1,2,2,4,16,1,0.096795
1,2,16,1,8,2,18,1,0.102654
1,18,2,2,1,8,16,1,0.097252
1,8,2,6,12,4,2,1,0.09809
1,2,2,12,2,2,48,1,0.101703
1,3,4,8,1,32,3,1,0.098154
