gx,gy,gz,bx,by,bz,gpuId,smefficiency
8,64,1,512,1,1,0,10.19
16,1,32,512,1,1,0,10.19
16,2,16,512,1,1,0,10.19
16,4,8,512,1,1,0,10.19
16,8,4,512,1,1,0,10.19
16,16,2,512,1,1,0,10.19
16,32,1,512,1,1,0,10.18
32,1,16,512,1,1,0,10.19
32,2,8,512,1,1,0,10.2
32,4,4,512,1,1,0,10.19
32,8,2,512,1,1,0,10.2
32,16,1,512,1,1,0,10.19
64,1,8,512,1,1,0,10.19
64,2,4,512,1,1,0,10.19
64,4,2,512,1,1,0,10.19
64,8,1,512,1,1,0,10.18
128,1,4,512,1,1,0,10.19
128,2,2,512,1,1,0,10.2
128,4,1,512,1,1,0,10.19
256,1,2,512,1,1,0,10.18
256,2,1,512,1,1,0,10.18
512,1,1,512,1,1,0,10.18
1,1,256,1024,1,1,0,10.2
1,2,128,1024,1,1,0,10.19
1,4,64,1024,1,1,0,10.2
1,8,32,1024,1,1,0,10.2
1,16,16,1024,1,1,0,10.2
1,32,8,1024,1,1,0,10.2
1,64,4,1024,1,1,0,10.2
1,128,2,1024,1,1,0,10.2
1,256,1,1024,1,1,0,10.2
2,1,128,1024,1,1,0,10.2
2,2,64,1024,1,1,0,10.21
2,4,32,1024,1,1,0,10.21
2,8,16,1024,1,1,0,10.2
2,16,8,1024,1,1,0,10.21
2,32,4,1024,1,1,0,10.2
2,64,2,1024,1,1,0,10.21
2,128,1,1024,1,1,0,10.2
4,1,64,1024,1,1,0,10.19
4,2,32,1024,1,1,0,10.2
4,4,16,1024,1,1,0,10.22
4,8,8,1024,1,1,0,10.2
4,16,4,1024,1,1,0,10.21
4,32,2,1024,1,1,0,10.2
4,64,1,1024,1,1,0,10.21
8,1,32,1024,1,1,0,10.2
8,2,16,1024,1,1,0,10.2
8,4,8,1024,1,1,0,10.2
8,8,4,1024,1,1,0,10.21
8,16,2,1024,1,1,0,10.21
8,32,1,1024,1,1,0,10.2
16,1,16,1024,1,1,0,10.2
16,2,8,1024,1,1,0,10.2
16,4,4,1024,1,1,0,10.21
16,8,2,1024,1,1,0,10.21
16,16,1,1024,1,1,0,10.2
